name,channel_id,tags
つばきファクトリー,UCXTsCXNGHmePgo3a47hnsAA,"音楽,アイドル,芸能人,女性"
STU48,UCa8GISK9_hsZ8aEJEL1u1Sg,"音楽,アイドル,芸能人,女性"
TEAM SHACHI,UCEAn5QItECbYbLW6Mvq3bPg,"音楽,アイドル,芸能人,女性"
夢アド Official YouTube Channel,UCwFZSxCiCiucEhxtlV4L5Lg,"音楽,アイドル,芸能人,女性"
まねきケチャ公式,UCJxYlnZBZc7Ol4FZB9kwl4g,"音楽,アイドル,芸能人,女性"
Girls² Official YouTube Channel,UCiaowdmU8TziJd9RspD60yQ,"音楽,アイドル,テレビ,芸能人,女性"
TOKYO GIRLS’ STYLE東京女子流,UCkafLPXB6MgLmTbq8UHE8Cg,"音楽,アイドル,芸能人,女性"
NOT EQUAL ME ノットイコールミー 公式チャンネル,UCBmvHfXdGCvi_b6lFeU-E1Q,"音楽,アイドル,芸能人,女性"
9nine Official YouTube Channel,UCkEiBC95Yzi7x1pIcdVNiDw,"音楽,アイドル,芸能人,女性"
mirage² Official YouTube Channel,UCwJDv8UoHrxTCc_10hnEGgw,"音楽,アイドル,テレビ,芸能人,女性"
アイドリング!!!／Idoling!!!,UCOEctz8Lhq-mWlXXEC6rCHA,"音楽,アイドル,芸能人,女性"
yuki osaki,UC27oEn_SLniRM4FJczDc6nA,"音楽,アイドル,芸能人,女性,グラビア,ドラム"
BiS 新生アイドル研究会 OFFiCiAL CHANNEL,UC8ojUR5waSQVNsEaX06I5yA,"音楽,アイドル,芸能人,女性"
predia,UCsOxECTz2ZK5gGNXHTRaNEg,"音楽,アイドル,芸能人,女性"
youkikkawa,UCfqZbR2ReqINXkx6aRkkSWg,"音楽,アイドル,芸能人,女性"
【公式】椎名ひかりのりょーいき☆彡,UCLjzHC8I2T99kuxtaaZLaTQ,"音楽,アイドル,芸能人,女性"
sora tob sakana Official YouTube Channel,UCk2mfF3LamJRjhwGcepMdqQ,"音楽,アイドル,芸能人,女性"
9nine official - GO!GO! 9 channel | 9(キュウ)チャンネル,UC0INHFh6fbPsduI1qmXbYrw,"音楽,アイドル,芸能人,女性"
新しい学校のリーダーズ,UCp0iCvHGMwyfPHpYq7n2sPw,"音楽,アイドル,芸能人,女性"
アキシブproject -akishibu project-,UCGt6ZgtDf0Pk2FYXAidDXbg,"音楽,アイドル,芸能人,女性"
Pink Babies Channel,UCyvkklnY4CmGyd-C7ocU8qA,"音楽,アイドル,芸能人,女性"
チャビネス【公式】Chubbiness,UCXHE7OmSJP4w7wfDXcvw6DQ,"音楽,アイドル,芸能人,女性"
AIS Channel,UCi_BYBQrn9bEkH79un6USYQ,"音楽,アイドル,芸能人,女性"
ゑんら【公式】,UCSHcJ25cz2HIhROA9DJhOqw,"音楽,アイドル,芸能人,女性"
南端まいな公式チャンネル,UCf-muCEo0HUlzsAHQW9JZ_w,"音楽,アイドル,芸能人,女性"
